Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Sindelar O., Sroubek F., Milanfar P.",Space-variant image deblurring on smartphones using inertial sensors,2014,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,6909979,191,192,,3,10.1109/CVPRW.2014.34,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908537475&doi=10.1109%2fCVPRW.2014.34&partnerID=40&md5=d00ca62de04f3c34cbecafb09145c7de,"Institute of Information Theory and Automation, ASCR, Pod Vodarenskou vezi 4, Prague 8, Czech Republic; University of California, Santa Cruz Electrical Engineering Dept., Santa Cruz, CA, United States","Sindelar, O., Institute of Information Theory and Automation, ASCR, Pod Vodarenskou vezi 4, Prague 8, Czech Republic; Sroubek, F., Institute of Information Theory and Automation, ASCR, Pod Vodarenskou vezi 4, Prague 8, Czech Republic; Milanfar, P., University of California, Santa Cruz Electrical Engineering Dept., Santa Cruz, CA, United States",Conference Paper,Scopus,2-s2.0-84908537475
"Bustard J.D., Ghahramani M., Carter J.N., Hadid A., Nixon M.S.",Gait anti-spoofing,2014,Advances in Computer Vision and Pattern Recognition,49,,,147,163,,,10.1007/978-1-4471-6524-8_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984818924&doi=10.1007%2f978-1-4471-6524-8_8&partnerID=40&md5=edcd0c794fb61d2f861418015b93e2e4,"University of Southampton, University Rd, Southampton, United Kingdom; Pentti Kaiteran katu 1, Oulu, Finland","Bustard, J.D., University of Southampton, University Rd, Southampton, United Kingdom; Ghahramani, M., Pentti Kaiteran katu 1, Oulu, Finland; Carter, J.N., University of Southampton, University Rd, Southampton, United Kingdom; Hadid, A., Pentti Kaiteran katu 1, Oulu, Finland; Nixon, M.S., University of Southampton, University Rd, Southampton, United Kingdom",Book Chapter,Scopus,2-s2.0-84984818924
"Fumera G., Marcialis G.L., Biggio B., Roli F., Schuckers S.C.",Multimodal anti-spoofing in biometric recognition systems,2014,Advances in Computer Vision and Pattern Recognition,49,,,165,184,,,10.1007/978-1-4471-6524-8_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984820590&doi=10.1007%2f978-1-4471-6524-8_9&partnerID=40&md5=94723b50fba5422db477789de4139644,"Department of Electrical and Electronic Engineering, University of Cagliari, Piazza d’Armi, Cagliari, Italy; Department of Electrical and Computer Engineering, Clarkson University, PO Box 5720, Potsdam, NY, United States","Fumera, G., Department of Electrical and Electronic Engineering, University of Cagliari, Piazza d’Armi, Cagliari, Italy; Marcialis, G.L., Department of Electrical and Electronic Engineering, University of Cagliari, Piazza d’Armi, Cagliari, Italy; Biggio, B., Department of Electrical and Electronic Engineering, University of Cagliari, Piazza d’Armi, Cagliari, Italy; Roli, F., Department of Electrical and Electronic Engineering, University of Cagliari, Piazza d’Armi, Cagliari, Italy; Schuckers, S.C., Department of Electrical and Computer Engineering, Clarkson University, PO Box 5720, Potsdam, NY, United States",Book Chapter,Scopus,2-s2.0-84984820590
Busch C.,Related standards,2014,Advances in Computer Vision and Pattern Recognition,49,,,205,215,,,10.1007/978-1-4471-6524-8_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984600685&doi=10.1007%2f978-1-4471-6524-8_11&partnerID=40&md5=5ae5c2a2238611cced07e0c48220338c,"Fraunhofer IGD, Fraunhoferstr 5, Darmstadt, Germany","Busch, C., Fraunhofer IGD, Fraunhoferstr 5, Darmstadt, Germany",Article,Scopus,2-s2.0-84984600685
"Anjos A., Komulainen J., Marcel S., Hadid A., Pietikäinen M.",Face anti-spoofing: Visual approach,2014,Advances in Computer Vision and Pattern Recognition,49,,,65,82,,,10.1007/978-1-4471-6524-8_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984846104&doi=10.1007%2f978-1-4471-6524-8_4&partnerID=40&md5=55db5f6b9ffb292c35955e2b6df5ce7e,"Idiap Research Institute, Rue Marconi 19, Martigny, Switzerland; Center for Machine Vision Research (CMV), Department of Computer Science and Engineering (CSE), University of Oulu, P.O. Box 4500, Oulu, Finland","Anjos, A., Idiap Research Institute, Rue Marconi 19, Martigny, Switzerland; Komulainen, J., Idiap Research Institute, Rue Marconi 19, Martigny, Switzerland; Marcel, S., Center for Machine Vision Research (CMV), Department of Computer Science and Engineering (CSE), University of Oulu, P.O. Box 4500, Oulu, Finland; Hadid, A., Center for Machine Vision Research (CMV), Department of Computer Science and Engineering (CSE), University of Oulu, P.O. Box 4500, Oulu, Finland; Pietikäinen, M., Center for Machine Vision Research (CMV), Department of Computer Science and Engineering (CSE), University of Oulu, P.O. Box 4500, Oulu, Finland",Book Chapter,Scopus,2-s2.0-84984846104
"Yi D., Lei Z., Zhang Z., Li S.Z.",Face anti-spoofing: Multi-spectral approach,2014,Advances in Computer Vision and Pattern Recognition,49,,,83,102,,,10.1007/978-1-4471-6524-8_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984820257&doi=10.1007%2f978-1-4471-6524-8_5&partnerID=40&md5=487d82f7f6971af06bef6a07d257f1dc,"Chinese Academy of Sciences, Institute of Automation, 95 Zhongguancun Donglu, Beijing, China","Yi, D., Chinese Academy of Sciences, Institute of Automation, 95 Zhongguancun Donglu, Beijing, China; Lei, Z., Chinese Academy of Sciences, Institute of Automation, 95 Zhongguancun Donglu, Beijing, China; Zhang, Z., Chinese Academy of Sciences, Institute of Automation, 95 Zhongguancun Donglu, Beijing, China; Li, S.Z., Chinese Academy of Sciences, Institute of Automation, 95 Zhongguancun Donglu, Beijing, China",Book Chapter,Scopus,2-s2.0-84984820257
"Evans N., Kinnunen T., Yamagishi J., Wu Z., Alegre F., De Leon P.",Speaker recognition anti-spoofing,2014,Advances in Computer Vision and Pattern Recognition,49,,,125,146,,1,10.1007/978-1-4471-6524-8_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984806995&doi=10.1007%2f978-1-4471-6524-8_7&partnerID=40&md5=8b8cda83e673606fe1af557495c754d5,"Department of Multimedia Communications, EURECOM, Campus SophiaTech, 450 Route des Chappes, Biot, France; Speech and Image Processing Unit, School of Computing, University of Eastern Finland (UEF), P.O. Box 111, Joensuu, Finland; National Institute of Informatics, 2-1-2 Hitotsubashi, Chiyoda-ku, Tokyo, Japan; University of Edinburgh, 10 Crichton Street, Edinburgh, United Kingdom; Emerging Research Lab, School of Computer Engineering, Nanyang Technological University (NTU), N4-B1a-02 C2I, Nanyang Avenue, Singapore, Singapore; Department 3-O, Klipsch School of Electrical and Computer Engineering, New Mexico State University, PO Box 30001, Las Cruces, NM, United States","Evans, N., Department of Multimedia Communications, EURECOM, Campus SophiaTech, 450 Route des Chappes, Biot, France; Kinnunen, T., Speech and Image Processing Unit, School of Computing, University of Eastern Finland (UEF), P.O. Box 111, Joensuu, Finland; Yamagishi, J., National Institute of Informatics, 2-1-2 Hitotsubashi, Chiyoda-ku, Tokyo, Japan, University of Edinburgh, 10 Crichton Street, Edinburgh, United Kingdom; Wu, Z., Emerging Research Lab, School of Computer Engineering, Nanyang Technological University (NTU), N4-B1a-02 C2I, Nanyang Avenue, Singapore, Singapore; Alegre, F., Department of Multimedia Communications, EURECOM, Campus SophiaTech, 450 Route des Chappes, Biot, France; De Leon, P., Department 3-O, Klipsch School of Electrical and Computer Engineering, New Mexico State University, PO Box 30001, Las Cruces, NM, United States",Book Chapter,Scopus,2-s2.0-84984806995
"Sun Z., Tan T.",Iris anti-spoofing,2014,Advances in Computer Vision and Pattern Recognition,49,,,103,123,,,10.1007/978-1-4471-6524-8_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984820163&doi=10.1007%2f978-1-4471-6524-8_6&partnerID=40&md5=b052c36c3af96b1b7b6ede4ad4689c24,"Center for Research on Intelligent Perception and Computing, National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, P.O. Box 2728, Beijing, China","Sun, Z., Center for Research on Intelligent Perception and Computing, National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, P.O. Box 2728, Beijing, China; Tan, T., Center for Research on Intelligent Perception and Computing, National Laboratory of Pattern Recognition, Institute of Automation, Chinese Academy of Sciences, P.O. Box 2728, Beijing, China",Book Chapter,Scopus,2-s2.0-84984820163
"Chingovska I., Anjos A., Marcel S.",Evaluation methodologies,2014,Advances in Computer Vision and Pattern Recognition,49,,,185,204,,,10.1007/978-1-4471-6524-8_10,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984660038&doi=10.1007%2f978-1-4471-6524-8_10&partnerID=40&md5=048882c6b21145a11e0e79be5985241f,"Idiap Research Institute, rue Marconi 19, Martigny, Switzerland","Chingovska, I., Idiap Research Institute, rue Marconi 19, Martigny, Switzerland; Anjos, A., Idiap Research Institute, rue Marconi 19, Martigny, Switzerland; Marcel, S., Idiap Research Institute, rue Marconi 19, Martigny, Switzerland",Article,Scopus,2-s2.0-84984660038
[No author name available],Script identification,2014,Advances in Computer Vision and Pattern Recognition,51,,,195,219,,,10.1007/978-1-4471-6515-6__8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984824720&doi=10.1007%2f978-1-4471-6515-6__8&partnerID=40&md5=9c82132f85e23005497b08fda544b906,,,Book Chapter,Scopus,2-s2.0-84984824720
