Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Source,EID
"Cho Seong Ik, Saito Hideo, Ozawa Shinji",Divide-and-conquer strategy in shape from shading problem,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,413,419,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030681619&partnerID=40&md5=573725bcbc6748b2a3eed1398100ff69,"Keio Univ, Yokohama-shi, Japan","Cho, Seong Ik, Keio Univ, Yokohama-shi, Japan; Saito, Hideo, Keio Univ, Yokohama-shi, Japan; Ozawa, Shinji, Keio Univ, Yokohama-shi, Japan",Conference Paper,Scopus,2-s2.0-0030681619
"Ahmed M., Yamany S., Hemayed E., Ahmed S., Roberts S., Farag A.",3D reconstruction of the human jaw from a sequence of images,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,646,652,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655689&partnerID=40&md5=12db36641ead0e026ae9d02fac798256,"Univ of Louisville, Louisville, United States","Ahmed, M., Univ of Louisville, Louisville, United States; Yamany, S., Univ of Louisville, Louisville, United States; Hemayed, E., Univ of Louisville, Louisville, United States; Ahmed, S., Univ of Louisville, Louisville, United States; Roberts, S., Univ of Louisville, Louisville, United States; Farag, A., Univ of Louisville, Louisville, United States",Conference Paper,Scopus,2-s2.0-0030655689
Krumm John,Object detection with vector quantized binary features,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,179,185,,9,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655684&partnerID=40&md5=fa21abf0797434fd7f869a2898ff7654,"Sandia Natl Lab, Albuquerque, United States","Krumm, John, Sandia Natl Lab, Albuquerque, United States",Conference Paper,Scopus,2-s2.0-0030655684
"Bottou Leon, Bengio Yoshua, Le Cun Yann",Global training of document processing systems using graph transformer networks,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,489,494,,19,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030648914&partnerID=40&md5=a81bd5847e8892658b8ebc496ead0e6b,"AT&T Lab, Holmdel, United States","Bottou, Leon, AT&T Lab, Holmdel, United States; Bengio, Yoshua, AT&T Lab, Holmdel, United States; Le Cun, Yann, AT&T Lab, Holmdel, United States",Conference Paper,Scopus,2-s2.0-0030648914
"Heyden Anders, Astrom Kalle",Euclidean reconstruction from image sequences with varying and unknown focal length and principal point,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,438,443,,99,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030689146&partnerID=40&md5=1760b39af841ed3b163186a3d179dfbc,"Lund Univ, Lund, Sweden","Heyden, Anders, Lund Univ, Lund, Sweden; Astrom, Kalle, Lund Univ, Lund, Sweden",Conference Paper,Scopus,2-s2.0-0030689146
"Ben-Arie Jezekiel, Nandy Dibyendu",Representation of objects in a volumetric frequency domain with application to face recognition,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,615,620,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655217&partnerID=40&md5=bd749c6c4e0caa92598ed46384db8310,"Univ of Illinois at Chicago, Chicago, United States","Ben-Arie, Jezekiel, Univ of Illinois at Chicago, Chicago, United States; Nandy, Dibyendu, Univ of Illinois at Chicago, Chicago, United States",Conference Paper,Scopus,2-s2.0-0030655217
"Smith Michael A., Kanade Takeo",Video skimming and characterization through the combination of image and language understanding techniques,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,775,781,,139,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655038&partnerID=40&md5=f51bad1bc36944f51628477556aaeb91,"Carnegie Mellon Univ, Pittsburgh, United States","Smith, Michael A., Carnegie Mellon Univ, Pittsburgh, United States; Kanade, Takeo, Carnegie Mellon Univ, Pittsburgh, United States",Conference Paper,Scopus,2-s2.0-0030655038
"Argyros Antonis A., Orphanoudakis Stelios C.",Independent 3D motion detection based on depth elimination in normal flow fields,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,672,677,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030685279&partnerID=40&md5=44a90422f74b9af593ba330d9931a55e,"CVRL/ICS/FORTH, Crete, Greece","Argyros, Antonis A., CVRL/ICS/FORTH, Crete, Greece; Orphanoudakis, Stelios C., CVRL/ICS/FORTH, Crete, Greece",Conference Paper,Scopus,2-s2.0-0030685279
"Boykov Yuri, Veksler Olga, Zabih Ramin",Disparity component matching for visual correspondence,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,470,475,,8,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719743&partnerID=40&md5=e510c5354ce0b24dc840da914c2c0897,"Carnegie-Mellon Univ, Pittsburgh, United States","Boykov, Yuri, Carnegie-Mellon Univ, Pittsburgh, United States; Veksler, Olga, Carnegie-Mellon Univ, Pittsburgh, United States; Zabih, Ramin, Carnegie-Mellon Univ, Pittsburgh, United States",Conference Paper,Scopus,2-s2.0-0030719743
"Lengagne Richard, Monga Olivier, Fua Pascal",Using differential constraints to reconstruct complex surfaces from stereo,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,1081,1086,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030700117&partnerID=40&md5=80e55efaefbf11f12efd10a3760f032c,"INRIA-Rocquencourt, Le Chesnay, France","Lengagne, Richard, INRIA-Rocquencourt, Le Chesnay, France; Monga, Olivier, INRIA-Rocquencourt, Le Chesnay, France; Fua, Pascal, INRIA-Rocquencourt, Le Chesnay, France",Conference Paper,Scopus,2-s2.0-0030700117
"Yuille Alan, Ferraro Mario, Zhang Tony",Surface shape from warping,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,846,851,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030679340&partnerID=40&md5=31a2b234f8c95d796a15c9b74dbba32d,"Smith-Kettlewell Eye Research Inst, San Francisco, United States","Yuille, Alan, Smith-Kettlewell Eye Research Inst, San Francisco, United States; Ferraro, Mario, Smith-Kettlewell Eye Research Inst, San Francisco, United States; Zhang, Tony, Smith-Kettlewell Eye Research Inst, San Francisco, United States",Conference Paper,Scopus,2-s2.0-0030679340
"Bozma H.Isil, Kemik Erdem",Model-based multi-objective analysis of ultrasound image sequences in prenatal diagnosis,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,942,947,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719752&partnerID=40&md5=6e96de368bcc2206793ad4c4ef24d4b9,"Bogazici Univ, Istanbul, Turkey","Bozma, H.Isil, Bogazici Univ, Istanbul, Turkey; Kemik, Erdem, Bogazici Univ, Istanbul, Turkey",Conference Paper,Scopus,2-s2.0-0030719752
"Huang Jing, Kumar S.Ravi, Mitra Mandar, Zhu Wei-Jing, Zabih Ramin",Image indexing using color correlograms,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,762,768,,817,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719750&partnerID=40&md5=8a877fd09386e145826e6b1760d9be0c,"Cornell Univ, Ithaca, United States","Huang, Jing, Cornell Univ, Ithaca, United States; Kumar, S.Ravi, Cornell Univ, Ithaca, United States; Mitra, Mandar, Cornell Univ, Ithaca, United States; Zhu, Wei-Jing, Cornell Univ, Ithaca, United States; Zabih, Ramin, Cornell Univ, Ithaca, United States",Conference Paper,Scopus,2-s2.0-0030719750
"Gelgon Marc, Bouthemy Patrick",Region-level graph labeling approach to motion-based segmentation,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,514,519,,21,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030715159&partnerID=40&md5=f798096bf4be6f547cefbee5aa10722a,"IRISA / INRIA, Rennes, France","Gelgon, Marc, IRISA / INRIA, Rennes, France; Bouthemy, Patrick, IRISA / INRIA, Rennes, France",Conference Paper,Scopus,2-s2.0-0030715159
"Fusiello Andrea, Roberto Vito, Trucco Emanuele",Efficient stereo with multiple windowing,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,858,863,,174,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719751&partnerID=40&md5=8fb929f527f05e176d94e83df66c07f6,"Univ of Udine, Udine, Italy","Fusiello, Andrea, Univ of Udine, Udine, Italy; Roberto, Vito, Univ of Udine, Udine, Italy; Trucco, Emanuele, Univ of Udine, Udine, Italy",Conference Paper,Scopus,2-s2.0-0030719751
"Dana Kristin J., Nayar Shree K., van Ginneken Bram, Koenderink Jan J.",Reflectance and texture of real-world surfaces,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,151,157,,91,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030648912&partnerID=40&md5=a0c57d0ca9259e5690a590027e143dcf,"Columbia Univ, New York, United States","Dana, Kristin J., Columbia Univ, New York, United States; Nayar, Shree K., Columbia Univ, New York, United States; van Ginneken, Bram, Columbia Univ, New York, United States; Koenderink, Jan J., Columbia Univ, New York, United States",Conference Paper,Scopus,2-s2.0-0030648912
"Black Michael J., Yacoob Yaser, Jepson Allan D., Fleet David J.",Learning parameterized models of image motion,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,561,567,,45,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655688&partnerID=40&md5=ca3c139b39e8ab908e03aca79e92d1bb,"Xerox Palo Alto Research Cent, Palo Alto, United States","Black, Michael J., Xerox Palo Alto Research Cent, Palo Alto, United States; Yacoob, Yaser, Xerox Palo Alto Research Cent, Palo Alto, United States; Jepson, Allan D., Xerox Palo Alto Research Cent, Palo Alto, United States; Fleet, David J., Xerox Palo Alto Research Cent, Palo Alto, United States",Conference Paper,Scopus,2-s2.0-0030655688
"Wilson Richard C., Hancock Edwin R.",Minimum-variance adaptive surface mesh,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,634,639,,4,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030715837&partnerID=40&md5=a06ec6fee9681954de406eec0682baf4,"Univ of York, York, United Kingdom","Wilson, Richard C., Univ of York, York, United Kingdom; Hancock, Edwin R., Univ of York, York, United Kingdom",Conference Paper,Scopus,2-s2.0-0030715837
"Rajagopalan A.N., Chaudhuri S.",Optimal selection of camera parameters for recovery of depth from defocused images,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,219,224,,19,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719742&partnerID=40&md5=250c64130b9c92de14556bd27c28c120,"Indian Inst of Technology, Bombay, India","Rajagopalan, A.N., Indian Inst of Technology, Bombay, India; Chaudhuri, S., Indian Inst of Technology, Bombay, India",Conference Paper,Scopus,2-s2.0-0030719742
"Shi Jianbo, Malik Jitendra",Normalized cuts and image segmentation,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,731,737,,469,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030646927&partnerID=40&md5=42573d155d149f8aaa0e35a0ea7664a2,"Univ of California at Berkeley, Berkeley, United States","Shi, Jianbo, Univ of California at Berkeley, Berkeley, United States; Malik, Jitendra, Univ of California at Berkeley, Berkeley, United States",Conference Paper,Scopus,2-s2.0-0030646927
"Tek Huseyin, Stoll Perry A., Kimia Benjamin B.",Shocks from images: Propagation of orientation elements,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,839,845,,12,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030715162&partnerID=40&md5=cca1a1bb187d6c7524f24ead882a5482,"Brown Univ, Providence, United States","Tek, Huseyin, Brown Univ, Providence, United States; Stoll, Perry A., Brown Univ, Providence, United States; Kimia, Benjamin B., Brown Univ, Providence, United States",Conference Paper,Scopus,2-s2.0-0030715162
"Colmenarez Antonio J., Huang Thomas S.",Face detection with information-based maximum discrimination,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,782,787,,70,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655218&partnerID=40&md5=0a22ac18c3742a50e891ea0f1110d89d,"Univ of Illinois at Urbana-Champaign, Urbana, United States","Colmenarez, Antonio J., Univ of Illinois at Urbana-Champaign, Urbana, United States; Huang, Thomas S., Univ of Illinois at Urbana-Champaign, Urbana, United States",Conference Paper,Scopus,2-s2.0-0030655218
"Berthilsson Rikard, Heyden Anders, Sparr Gunnar",Recursive structure and motion from image sequences using shape and depth spaces,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,444,449,,13,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030655211&partnerID=40&md5=b398b939558f7fcb9f120f7be9794a96,"Lund Univ, Lund, Sweden","Berthilsson, Rikard, Lund Univ, Lund, Sweden; Heyden, Anders, Lund Univ, Lund, Sweden; Sparr, Gunnar, Lund Univ, Lund, Sweden",Conference Paper,Scopus,2-s2.0-0030655211
"Shilat Erez, Werman Michael, Gdalyahu Yoram",Ridge's corner detection and correspondence,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,976,981,,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030683251&partnerID=40&md5=fc69f13631c8e68bf5d72b4f4400ddb5,"Hebrew Univ of Jerusalem, Jerusalem, Israel","Shilat, Erez, Hebrew Univ of Jerusalem, Jerusalem, Israel; Werman, Michael, Hebrew Univ of Jerusalem, Jerusalem, Israel; Gdalyahu, Yoram, Hebrew Univ of Jerusalem, Jerusalem, Israel",Conference Paper,Scopus,2-s2.0-0030683251
"Cham Tat-Jen, Cipolla Roberto",Stereo coupled active contours,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,1094,1099,,20,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030688148&partnerID=40&md5=cd5dcaf65b0901f5ad7ac3f45e8c3389,"Univ of Cambridge, Cambridge, United Kingdom","Cham, Tat-Jen, Univ of Cambridge, Cambridge, United Kingdom; Cipolla, Roberto, Univ of Cambridge, Cambridge, United Kingdom",Conference Paper,Scopus,2-s2.0-0030688148
"Rehg James M., Loughlin Maria, Waters Keith",Vision for a Smart Kiosk,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,690,696,,41,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030704854&partnerID=40&md5=ea2374cbfcbbce5bb7694b5e239101d9,"Digital Equipment Corp, Cambridge, United States","Rehg, James M., Digital Equipment Corp, Cambridge, United States; Loughlin, Maria, Digital Equipment Corp, Cambridge, United States; Waters, Keith, Digital Equipment Corp, Cambridge, United States",Conference Paper,Scopus,2-s2.0-0030704854
Huynh Du Q.,Calibration of a structured light system: A projective approach,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,225,230,,25,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030699852&partnerID=40&md5=e556d18874baa5140c252888688f1ae3,"Signal Processing Research Inst, Levels, Australia","Huynh, Du Q., Signal Processing Research Inst, Levels, Australia",Conference Paper,Scopus,2-s2.0-0030699852
"Jebara Tony S., Pentland Alex",Parametrized structure from motion for 3D adaptive feedback tracking of faces,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,144,150,,90,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030646917&partnerID=40&md5=d23220dda932dcd8cc6898b999bf5a33,"Massachusetts Inst of Technology, Cambridge, United States","Jebara, Tony S., Massachusetts Inst of Technology, Cambridge, United States; Pentland, Alex, Massachusetts Inst of Technology, Cambridge, United States",Conference Paper,Scopus,2-s2.0-0030646917
"Ma W.Y., Manjunath B.S.",Edge flow: A framework of boundary detection and image segmentation,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,744,749,,101,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719749&partnerID=40&md5=a60b8e38cfd962499adee6978629e68a,"Univ of California, Santa Barbara, United States","Ma, W.Y., Univ of California, Santa Barbara, United States; Manjunath, B.S., Univ of California, Santa Barbara, United States",Conference Paper,Scopus,2-s2.0-0030719749
Steger Carsten,Removing the bias from line detection,1997,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,,,,116,122,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0030719741&partnerID=40&md5=2b40c09307e9f8f5b4581c1869529963,"Technische Universitaet Muenchen, Muenchen, Germany","Steger, Carsten, Technische Universitaet Muenchen, Muenchen, Germany",Conference Paper,Scopus,2-s2.0-0030719741
