Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Source,EID
"Banerjee S., Das S.","Soft-Margin Learning for Multiple Feature-Kernel Combinations with Domain Adaptation, for Recognition in Surveillance Face Datasets",2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789526,237,242,,,10.1109/CVPRW.2016.36,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010204467&doi=10.1109%2fCVPRW.2016.36&partnerID=40&md5=d0315c7e8f0e1fca063585b78292e958,"IIT Madras, Chennai, India","Banerjee, S., IIT Madras, Chennai, India; Das, S., IIT Madras, Chennai, India","Face recognition (FR) is the most preferred mode for biometric-based surveillance, due to its passive nature of detecting subjects, amongst all different types of biometric traits. FR under surveillance scenario does not give satisfactory performance due to low contrast, noise and poor illumination conditions on probes, as compared to the training samples. A state-of-the-art technology, Deep Learning, even fails to perform well in these scenarios. We propose a novel soft-margin based learning method for multiple feature-kernel combinations, followed by feature transformed using Domain Adaptation, which outperforms many recent state-of-the-art techniques, when tested using three real-world surveillance face datasets. © 2016 IEEE.",,Biometrics; Computer vision; Monitoring; Pattern recognition; Biometric traits; Deep learning; Domain adaptation; Illumination conditions; Learning methods; Multiple features; State-of-the-art technology; Training sample; Face recognition,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010204467
"Deshmukh A., Bhosale G., Medasani S., Reddy K., Kumar P.H., Chandrasekhar A., Kumar P.K., Vijayasagar K.",Embedded Vision System for Atmospheric Turbulence Mitigation,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789602,861,869,,,10.1109/CVPRW.2016.112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010192565&doi=10.1109%2fCVPRW.2016.112&partnerID=40&md5=e65c176895ff125b5610bbafe7f92d3a,"Uurmi Systems Pvt. Ltd., Hyderabad, India","Deshmukh, A., Uurmi Systems Pvt. Ltd., Hyderabad, India; Bhosale, G., Uurmi Systems Pvt. Ltd., Hyderabad, India; Medasani, S., Uurmi Systems Pvt. Ltd., Hyderabad, India; Reddy, K., Uurmi Systems Pvt. Ltd., Hyderabad, India; Kumar, P.H., Uurmi Systems Pvt. Ltd., Hyderabad, India; Chandrasekhar, A., Uurmi Systems Pvt. Ltd., Hyderabad, India; Kumar, P.K., Uurmi Systems Pvt. Ltd., Hyderabad, India; Vijayasagar, K., Uurmi Systems Pvt. Ltd., Hyderabad, India","Outdoor surveillance systems that involve farfield operations often encounter atmospheric turbulence perturbations due to a series of randomized reflections and refraction effecting incoming light rays. The resulting distortions make it hard to discriminate between true moving objects and turbulence induced motion. Current algorithms are not effective in detecting true moving objects in the scene and also rely on computationally complex warping methods. In this paper, we describe a real time embedded solution connected with traditional cameras to both rectify turbulence distortions and reliably detect and track true moving targets. Our comparisons with other methods shows better turbulence rectification with less false and miss detections. FPGADSP based embedded realization of our algorithm achieves nearly 15x speed-up along with lesser memory requirement over a quad core PC implementation. The proposed system is suitable for persistence surveillance systems and optical sight devices. © 2016 IEEE.",,Atmospheric thermodynamics; Computer vision; Pattern recognition; Security systems; Embedded visions; Incoming light; Induced motions; Memory requirements; Miss detection; Moving objects; Moving targets; Surveillance systems; Atmospheric turbulence,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010192565
"Ragothaman S., Narasimhan S., Basavaraj M.G., Dewar R.",Unsupervised Segmentation of Cervical Cell Images Using Gaussian Mixture Model,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789663,1374,1379,,,10.1109/CVPRW.2016.173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010216383&doi=10.1109%2fCVPRW.2016.173&partnerID=40&md5=a4420d05adb197280b7ff8d4bb3ba8da,"Indian Institute of Technology Madras, Chennai, India; Department of Pathology, University of Michigan, Ann Arbor, United States","Ragothaman, S., Indian Institute of Technology Madras, Chennai, India; Narasimhan, S., Indian Institute of Technology Madras, Chennai, India; Basavaraj, M.G., Indian Institute of Technology Madras, Chennai, India; Dewar, R., Department of Pathology, University of Michigan, Ann Arbor, United States","Cervical cancer is one of the leading causes of cancer death in women. Screening at early stages using the popular Pap smear test has been demonstrated to reduce fatalities significantly. Cost effective, automated screening methods can significantly improve the adoption of these tests worldwide. Automated screening involves image analysis of cervical cells. Gaussian Mixture Models (GMM) are widely used in image processing for segmentation which is a crucial step in image analysis. In our proposed method, GMM is implemented to segment cell regions to identify cellular features such as nucleus, cytoplasm while addressing shortcomings of existing methods. This method is combined with shape based identification of nucleus to increase the accuracy of nucleus segmentation. This enables the algorithm to accurately trace the cells and nucleus contours from the pap smear images that contain cell clusters. The method also accounts for inconsistent staining, if any. The results that are presented shows that our proposed method performs well even in challenging conditions. © 2016 IEEE.",,Automation; Cells; Communication channels (information theory); Computer vision; Cost effectiveness; Cytology; Diseases; Gaussian distribution; Image analysis; Image processing; Object recognition; Pattern recognition; Automated screening; Cervical cancers; Cervical cells; Cost effective; Gaussian Mixture Model; Nucleus segmentation; Pap smear images; Unsupervised segmentation; Image segmentation,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010216383
"Viswanath P., Chitnis K., Swami P., Mody M., Shivalingappa S., Nagori S., Mathew M., Desappan K., Jagannathan S., Poddar D., Jain A., Garud H., Appia V., Mangla M., Dabral S.",A Diverse Low Cost High Performance Platform for Advanced Driver Assistance System (ADAS) Applications,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789597,819,827,,,10.1109/CVPRW.2016.107,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010191031&doi=10.1109%2fCVPRW.2016.107&partnerID=40&md5=a642ac8341daa0c752b68251fdbb0eed,"Texas Instruments India Pvt Ltd, Bangalore, India","Viswanath, P., Texas Instruments India Pvt Ltd, Bangalore, India; Chitnis, K., Texas Instruments India Pvt Ltd, Bangalore, India; Swami, P., Texas Instruments India Pvt Ltd, Bangalore, India; Mody, M., Texas Instruments India Pvt Ltd, Bangalore, India; Shivalingappa, S., Texas Instruments India Pvt Ltd, Bangalore, India; Nagori, S., Texas Instruments India Pvt Ltd, Bangalore, India; Mathew, M., Texas Instruments India Pvt Ltd, Bangalore, India; Desappan, K., Texas Instruments India Pvt Ltd, Bangalore, India; Jagannathan, S., Texas Instruments India Pvt Ltd, Bangalore, India; Poddar, D., Texas Instruments India Pvt Ltd, Bangalore, India; Jain, A., Texas Instruments India Pvt Ltd, Bangalore, India; Garud, H., Texas Instruments India Pvt Ltd, Bangalore, India; Appia, V., Texas Instruments India Pvt Ltd, Bangalore, India; Mangla, M., Texas Instruments India Pvt Ltd, Bangalore, India; Dabral, S., Texas Instruments India Pvt Ltd, Bangalore, India","Advanced driver assistance systems (ADAS) are becoming more and more popular. Lot of the ADAS applications such as Lane departure warning (LDW), Forward Collision Warning (FCW), Automatic Cruise Control (ACC), Auto Emergency Braking (AEB), Surround View (SV) that were present only in high-end cars in the past have trickled down to the low and mid end vehicles. Lot of these applications are also mandated by safety authorities such as EUNCAP and NHTSA. In order to make these applications affordable in the low and mid end vehicles, it is important to have a cost effective, yet high performance and low power solution. Texas Instruments (TI's) TDA3x is an ideal platform which addresses these needs. This paper illustrates mapping of different algorithms such as SV, LDW, Object detection (OD), Structure From Motion (SFM) and Camera-Monitor Systems (CMS) to the TDA3x device, thereby demonstrating its compute capabilities. We also share the performance for these embedded vision applications, showing that TDA3x is an excellent high performance device for ADAS applications. © 2016 IEEE.",,Automobile drivers; Computer vision; Cost effectiveness; Cruise control; Object recognition; Pattern recognition; Embedded visions; Forward collision warnings; High performance devices; High-performance platforms; Lane departure warning; Safety authority; Structure from motion; Texas Instruments; Advanced driver assistance systems,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010191031
"Das N., Mandal D., Biswas S.",Simultaneous Semi-Coupled Dictionary Learning for Matching RGBD Data,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789527,243,251,,,10.1109/CVPRW.2016.37,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010203549&doi=10.1109%2fCVPRW.2016.37&partnerID=40&md5=aa825a3ef4e099d932800d5621327839,"Indian Institute of Science, Bangalore, India","Das, N., Indian Institute of Science, Bangalore, India; Mandal, D., Indian Institute of Science, Bangalore, India; Biswas, S., Indian Institute of Science, Bangalore, India","Matching with hidden information which is available only during training and not during testing has recently become an important research problem. Matching data from two different modalities, known as cross-modal matching is another challenging problem due to the large variations in the data coming from different modalities. Often, these are treated as two independent problems. But for applications like matching RGBD data, when only one modality is available during testing, it can reduce to either of the two problems. In this work, we propose a framework which can handle both these scenarios seamlessly with applications to matching RGBD data of Lambertian objects. The proposed approach jointly uses the RGB and depth data to learn an illumination invariant canonical version of the objects. Dictionaries are learnt for the RGB, depth and the canonical data, such that the transformed sparse coefficients of the RGB and the depth data is equal to that of the canonical data. Given RGB or depth data, their sparse coefficients corresponding to their canonical version is computed which can be directly used for matching using a Mahalanobis metric. Extensive experiments on three datasets, EURECOM, VAP RGB-D-T and Texas 3D Face Recognition database show the effectiveness of the proposed framework. © 2016 IEEE.",,Computer vision; Face recognition; 3D face recognition; Canonical datum; Dictionary learning; Hidden information; Illumination invariant; Lambertian object; Mahalanobis metric; Research problems; Pattern recognition,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010203549
"Balasubramanian P., Pathak S., Mittal A.",Improving Gradient Histogram Based Descriptors for Pedestrian Detection in Datasets with Large Variations,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789640,1177,1186,,,10.1109/CVPRW.2016.150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010190141&doi=10.1109%2fCVPRW.2016.150&partnerID=40&md5=48171a2d7ffecd28a417e4cdf75e5f41,"Indian Institute of Technology Madras, Chennai, India; University of Tokyo, Tokyo, Japan","Balasubramanian, P., Indian Institute of Technology Madras, Chennai, India; Pathak, S., University of Tokyo, Tokyo, Japan; Mittal, A., Indian Institute of Technology Madras, Chennai, India","Gradient histogram based descriptors, that are constructed using the gradient magnitudes as votes to orientation bins, are successfully used for Pedestrian Detection. However, their performance is hampered when presented with datasets having many variations in properties such as appearance, texture, scale, background, and object pose. Such variations can be reduced by smoothing the images. But, the performance of the descriptors, and their classifiers is affected negatively by this, due to the loss of important gradients along with the noisy ones. In this work, we show that the ranks of gradient magnitudes stay resilient to such a smoothing. We show that a combination of image smoothing and the ranks of gradient magnitudes yields good detection performances, especially when the variations in a dataset are large or the number of training samples is less. Experiments on the challenging Caltech and Daimler Pedestrian datasets, and the Inria Person dataset illustrate these findings. © 2016 IEEE.",,Computer vision; Graphic methods; Object detection; Descriptors; Detection performance; Gradient histograms; Gradient magnitude; Image smoothing; Object pose; Pedestrian detection; Training sample; Pattern recognition,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010190141
"Gupta K., Burschka D., Bhavsar A.",Effectiveness of Grasp Attributes and Motion-Constraints for Fine-Grained Recognition of Object Manipulation Actions,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789646,1232,1239,,,10.1109/CVPRW.2016.156,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010197189&doi=10.1109%2fCVPRW.2016.156&partnerID=40&md5=3209db318d2584e61d7c40c045f35a5e,"School of Computing and Electrical Engineering, IIT Mandi, India; Dept. of Computer Science, TU Munich, Germany","Gupta, K., School of Computing and Electrical Engineering, IIT Mandi, India; Burschka, D., Dept. of Computer Science, TU Munich, Germany; Bhavsar, A., School of Computing and Electrical Engineering, IIT Mandi, India","In this work, we consider the problem of recognition of object manipulation actions. This is a challenging task for real everyday actions, as the same object can be grasped and moved in different ways depending on its functions and geometric constraints of the task. We propose to leverage grasp and motion-constraints information, using a suitable representation, to recognize and understand action intention with different objects. We also provide an extensive experimental evaluation on the recent Yale Human Grasping dataset consisting of large set of 455 manipulation actions. The evaluation involves a) Different contemporary multi-class classifiers, and binary classifiers with one-vsone multi-class voting scheme, and b) Differential comparisons results based on subsets of attributes involving information of grasp and motion-constraints. Our results clearly demonstrate the usefulness of grasp characteristics and motion-constraints, to understand actions intended with an object. © 2016 IEEE.",,Computer vision; Pattern recognition; Action intentions; Binary classifiers; Experimental evaluation; Geometric constraint; Motion constraints; Multi-class classifier; Recognition of objects; Voting schemes; Classification (of information),,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010197189
"Gupta K., Bhavsar A.",Scale Invariant Human Action Detection from Depth Cameras Using Class Templates,2016,IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops,,,7789535,304,311,,,10.1109/CVPRW.2016.45,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010206025&doi=10.1109%2fCVPRW.2016.45&partnerID=40&md5=b6003c2df5898ffed9a364cef73344f9,"School of Computing and Electrical Engineering, Indian Institute of Technology Mandi, India","Gupta, K., School of Computing and Electrical Engineering, Indian Institute of Technology Mandi, India; Bhavsar, A., School of Computing and Electrical Engineering, Indian Institute of Technology Mandi, India","We consider the problem of detecting and localizing a human action from continuous action video from depth cameras. We believe that this problem is more challenging than the problem of traditional action recognition as we do not have the information about the starting and ending frames of an action class. Another challenge which makes the problem difficult, is the latency in detection of actions. In this paper, we introduce a greedy approach to detect the action class, invariant of their temporal scale in the testing sequences using class templates and basic skeleton based feature representation from the depth stream data generated using Microsoft Kinect. We evaluate the proposed method on the standard G3D and UTKinect-Action datasets consisting of five and ten actions, respectively. Our results demonstrate that the proposed approach performs well for action detection and recognition under different temporal scales, and is able to outperform the state of the art methods at low latency. © 2016 IEEE.",,Cameras; Computer vision; Motion estimation; Action recognition; Continuous actions; Feature representation; Greedy approaches; Human action detections; Microsoft kinect; State-of-the-art methods; Testing sequences; Pattern recognition,,,IEEE Computer Society,21607508,9781467388504,,,English,IEEE Comput. Soc. Conf. Comput. Vis. Pattern Recogn. Workshops,Conference Paper,Scopus,2-s2.0-85010206025
"Dutta S., Sarkar S., Ghosh A.K.",Multi-scale classification using localized spatial depth,2016,Journal of Machine Learning Research,17,,,1,30,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008414311&partnerID=40&md5=f712b488bad140d01f76a14c113c428b,"Department of Mathematics and Statistics, Indian Institute of Technology, Kanpur, India; Theoretical Statistics and Mathematics Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata, India","Dutta, S., Department of Mathematics and Statistics, Indian Institute of Technology, Kanpur, India; Sarkar, S., Theoretical Statistics and Mathematics Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata, India; Ghosh, A.K., Theoretical Statistics and Mathematics Unit, Indian Statistical Institute, 203, B. T. Road, Kolkata, India","In this article, we develop and investigate a new classifier based on features extracted using spatial depth. Our construction is based on fitting a generalized additive model to posterior probabilities of different competing classes. To cope with possible multi-modal as well as non-elliptic nature of the population distribution, we also develop a localized version of spatial depth and use that with varying degrees of localization to build the classifier. Final classification is done by aggregating several posterior probability estimates, each of which is obtained using this localized spatial depth with a fixed scale of localization. The proposed classifier can be conveniently used even when the dimension of the data is larger than the sample size, and its good discriminatory power for such data has been established using theoretical as well as numerical results. © 2016 Subhajit Dutta, Soham Sarkar, and Anil K. Ghosh.",Bayes classifier; Elliptic distributions; Generalized additive models; HDLSS asymptotics; Uniform strong consistency; Weighted aggregation of posteriors.,Artificial intelligence; Software engineering; Asymptotics; Bayes Classifier; Elliptic distributions; Generalized additive model; Strong consistency; Weighted aggregation of posteriors; Probability,"Dutta, S.; Department of Mathematics and Statistics, Indian Institute of TechnologyIndia; email: duttas@iitk.ac.in",,Microtome Publishing,15324435,,,,English,J. Mach. Learn. Res.,Article,Scopus,2-s2.0-85008414311
"Jha S.S., Nair S.B.",An idiotypic solution sieve for selecting the best performing solutions in real-world distributed intelligence,2015,"Proceedings - AIMS 2015, 3rd International Conference on Artificial Intelligence, Modelling and Simulation",,,7604554,71,76,,,10.1109/AIMS.2015.22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997132545&doi=10.1109%2fAIMS.2015.22&partnerID=40&md5=11e258e0e90c6d24a882352022d4a029,"Department of Computer Science and Engineering, Indian Institute of Technology Guwahati, Guwahati, India","Jha, S.S., Department of Computer Science and Engineering, Indian Institute of Technology Guwahati, Guwahati, India; Nair, S.B., Department of Computer Science and Engineering, Indian Institute of Technology Guwahati, Guwahati, India","Jerne's Idiotypic Network theory features autonomous network formation, adaptation, learning and self-stabilization, all of which find extensive applications in computational realm. Researchers have used this model in a myriad of applications, however, the use of this model in real networked environments has hardly been addressed. This paper describes an Idiotypic Sieve to filter out the optimal solutions from a set of available solutions for a set of heterogeneous problems that could occur asynchronously or concurrently across a real network. The Idiotypic Sieve described herein, is conceived by emulating an Idiotypic network wherein antibodies (solutions) within a real physical network asynchronously interact with one another and also with the antigens (problems) in a distributed and decentralized manner and stimulate and suppress one another consequently changing their respective global populations across the network. The antibodies (solutions) are provided the much required mobility across the network by a set of mobile agents that autonomously patrol and migrate to nodes that are invaded by the antigens (problems). Emulation results carried out on a real network portrayed in this paper, show the effectiveness of the Idiotypic Sieve in generating and controlling the populations of both optimal and generic solutions to the heterogeneous set of problems. © 2015 IEEE.",Distributed Intelligence; Emulation; Idiotypic networks; Mobile agents; Typhon,Antibodies; Antigens; Artificial intelligence; Autonomous agents; Computation theory; Sieves; Autonomous networks; Distributed intelligence; Emulation; Idiotypic network theories; Idiotypic networks; Networked environments; Self stabilization; Typhon; Mobile agents,"Jha, S.S.; Department of Computer Science and Engineering, Indian Institute of Technology GuwahatiIndia; email: j.shashi@iitg.ernet.in",Hijazi M.H.A.Saad I.Al-Dabass D.Bolong N.,Institute of Electrical and Electronics Engineers Inc.,,9781467386753,,,English,"Proc. - AIMS, Int. Conf. Artif. Intell., Model. Simul.",Conference Paper,Scopus,2-s2.0-84997132545
